City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Adrar,MR,2022-02-02 21:51:22,20.5022,-10.0711,70.34,20,81,10.2
235,Scarborough,GB,2022-02-02 21:46:28,54.2797,-0.4044,50.07,87,100,4.0
236,Ndjole,GA,2022-02-02 21:51:23,-0.1783,10.7649,75.4,94,100,1.28
237,Lida,BY,2022-02-02 21:51:23,53.8833,25.2997,22.93,95,83,12.19
238,Hluti,SZ,2022-02-02 21:51:24,-27.2167,31.6167,68.85,96,3,3.47
239,Rawson,AR,2022-02-02 21:51:24,-43.3002,-65.1023,75.29,38,100,10.8
240,Hibbing,US,2022-02-02 21:51:24,47.4272,-92.9377,-0.8,37,0,13.8
241,Pevek,RU,2022-02-02 21:51:25,69.7008,170.3133,-8.43,76,30,4.92
242,Cidreira,BR,2022-02-02 21:50:52,-30.1811,-50.2056,75.97,84,0,17.74
243,Vila Velha,BR,2022-02-02 21:49:44,-20.3297,-40.2925,80.55,84,75,4.61
244,Arman,RU,2022-02-02 21:51:25,59.7,150.1667,10.71,82,100,9.86
245,Hofn,IS,2022-02-02 21:51:25,64.2539,-15.2082,29.59,56,100,4.72
246,Bengkulu,ID,2022-02-02 21:51:26,-3.8004,102.2655,76.28,88,97,4.34
247,Teacapan,MX,2022-02-02 21:51:26,22.55,-105.75,74.39,51,0,8.08
248,Pauini,BR,2022-02-02 21:51:26,-7.7136,-66.9764,72.16,99,100,3.62
249,Pecos,US,2022-02-02 21:51:27,31.4229,-103.4932,39.29,81,100,8.05
250,Beyneu,KZ,2022-02-02 21:47:34,45.3167,55.2,33.06,81,6,14.03
251,Leh,IN,2022-02-02 21:51:28,34.1667,77.5833,6.98,92,98,2.8
252,Longyearbyen,SJ,2022-02-02 21:48:28,78.2186,15.6401,17.44,67,79,12.66
253,Qaanaaq,GL,2022-02-02 21:51:28,77.484,-69.3632,-14.91,81,100,6.98
254,Paldiski,EE,2022-02-02 21:51:28,59.3567,24.0531,23.86,85,99,5.44
255,Old Saybrook,US,2022-02-02 21:50:29,41.2918,-72.3762,45.43,87,93,1.99
256,Takapau,NZ,2022-02-02 21:51:29,-40.0333,176.35,75.18,36,99,1.41
257,Araouane,ML,2022-02-02 21:51:29,18.9048,-3.5265,65.66,13,72,12.15
258,Faanui,PF,2022-02-02 21:51:30,-16.4833,-151.75,81.01,73,20,20.0
259,Bemidji,US,2022-02-02 21:51:30,47.4736,-94.8803,-0.09,58,0,14.97
260,Strezhevoy,RU,2022-02-02 21:51:30,60.7333,77.5889,21.18,92,100,9.42
261,Marsh Harbour,BS,2022-02-02 21:51:31,26.5412,-77.0636,71.89,60,9,17.09
262,Trelew,AR,2022-02-02 21:51:31,-43.249,-65.3051,83.8,22,100,9.91
263,Cabra,ES,2022-02-02 21:51:31,37.4725,-4.4421,56.39,47,44,4.09
264,Hami,CN,2022-02-02 21:51:32,42.8,93.45,21.58,35,2,1.88
265,Airai,TL,2022-02-02 21:51:32,-8.9266,125.4092,60.66,89,100,2.35
266,Ban Tak,TH,2022-02-02 21:51:32,17.0432,99.0813,67.46,56,6,4.05
267,Caravelas,BR,2022-02-02 21:51:32,-17.7125,-39.2481,78.42,84,100,5.35
268,Lac Du Bonnet,CA,2022-02-02 21:51:33,50.2536,-96.0612,-9.42,87,100,8.72
269,Shimoda,JP,2022-02-02 21:51:33,34.6667,138.95,40.1,63,35,22.77
270,Buala,SB,2022-02-02 21:51:34,-8.145,159.5921,81.79,79,100,7.63
271,Upernavik,GL,2022-02-02 21:50:26,72.7868,-56.1549,-5.13,69,100,7.65
