City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Naryan-Mar,RU,67.6713,53.087,-14.8,100,100,7.02,overcast clouds
224,Kerema,PG,-7.9631,145.7785,85.05,69,91,11.41,overcast clouds
225,Cidreira,BR,-30.1811,-50.2056,72.01,93,10,3.02,clear sky
226,Muroto,JP,33.2833,134.15,46.44,46,72,24.58,broken clouds
227,Kirensk,RU,57.7853,108.1119,15.35,90,100,9.1,overcast clouds
228,Lagoa,PT,39.05,-27.9833,58.05,78,85,21.03,overcast clouds
229,Salinas,US,36.6777,-121.6555,54.19,59,0,4.61,clear sky
230,Nanortalik,GL,60.1432,-45.2371,12.4,61,69,39.15,broken clouds
231,Kahului,US,20.8947,-156.47,75.85,87,100,6.91,overcast clouds
232,Maldonado,UY,-34.6667,-54.9167,65.59,96,74,0.89,broken clouds
233,Aleppo,SY,36.25,37.5,42.19,85,0,6.91,clear sky
234,Mafinga,TZ,-7.25,35.0667,63.82,96,100,6.44,overcast clouds
235,Zhangjiakou,CN,40.81,114.8794,22.53,31,1,8.16,light snow
236,Curuca,BR,-0.7289,-47.8481,73.0,97,100,2.84,overcast clouds
237,Sibolga,ID,1.7427,98.7792,83.75,69,100,3.71,overcast clouds
238,Ancud,CL,-41.8697,-73.8203,53.22,91,6,2.04,clear sky
239,Vigrestad,NO,58.5667,5.7,38.88,74,79,26.78,broken clouds
240,Fortuna,US,40.5982,-124.1573,45.52,94,75,0.0,broken clouds
241,Tateyama,JP,34.9833,139.8667,48.47,35,83,6.22,broken clouds
242,Pangkalanbuun,ID,-2.6833,111.6167,87.35,65,100,4.16,overcast clouds
243,Eyl,SO,7.9803,49.8164,78.85,51,35,14.03,scattered clouds
244,Minsk,BY,53.9,27.5667,22.75,96,100,12.53,light snow
245,Bodden Town,KY,19.2833,-81.25,75.99,82,23,3.0,few clouds
246,Boguchany,RU,58.3814,97.4531,22.77,90,100,8.86,overcast clouds
247,Kodar,IN,16.9833,79.9667,83.66,19,18,3.74,few clouds
248,Filingue,NE,14.3521,3.3168,57.78,18,0,10.96,clear sky
249,Trairi,BR,-3.2778,-39.2689,76.06,88,83,6.76,broken clouds
250,Hay River,CA,60.8156,-115.7999,-11.22,77,100,5.75,light snow
251,Zima,RU,53.9202,102.0442,13.06,81,100,5.08,overcast clouds
252,Fuyu,CN,45.1833,124.8167,7.92,71,41,8.77,scattered clouds
253,Pueblo Nuevo,MX,23.3833,-105.3833,40.95,54,0,8.68,clear sky
254,Saint Anthony,US,45.0205,-93.218,-0.56,73,75,0.0,broken clouds
255,Tazovskiy,RU,67.4667,78.7,5.36,96,100,7.54,overcast clouds
256,Ziro,IN,27.6333,93.8333,38.14,98,100,1.59,overcast clouds
257,Saldanha,ZA,-33.0117,17.9442,60.85,71,1,8.19,clear sky
258,Avarua,CK,-21.2078,-159.775,78.85,83,20,10.36,few clouds
259,Yar-Sale,RU,66.8333,70.8333,-2.61,100,89,5.46,overcast clouds
260,Mehamn,NO,71.0357,27.8492,19.69,83,100,20.69,overcast clouds
261,Lasa,IT,46.6166,10.7002,40.46,93,40,7.92,scattered clouds
262,Vao,NC,-22.6667,167.4833,80.85,85,100,5.66,overcast clouds
263,Charleston,US,32.7766,-79.9309,60.12,96,75,5.01,light intensity drizzle
264,Berlevag,NO,70.8578,29.0864,20.91,81,100,26.11,overcast clouds
265,Marquette,US,46.5333,-87.6335,7.34,73,68,7.78,broken clouds
266,Vredendal,ZA,-31.6683,18.5012,78.12,41,0,8.68,clear sky
267,Santa Luzia,BR,-19.7697,-43.8514,71.94,83,0,4.61,clear sky
268,At-Bashi,KG,41.1702,75.8106,10.71,64,13,1.77,few clouds
269,Halifax,CA,44.6453,-63.5724,30.99,95,100,5.01,overcast clouds
270,Dolores,AR,-36.3132,-57.6792,60.51,94,100,5.12,moderate rain
271,Carutapera,BR,-1.195,-46.02,75.42,93,100,3.62,overcast clouds
272,Neustadt,DE,49.7117,12.0872,35.29,87,100,5.01,overcast clouds
273,Evensk,RU,61.95,159.2333,14.74,47,5,15.19,clear sky
274,Baruun-Urt,MN,46.6806,113.2792,12.69,67,29,10.07,scattered clouds
275,Khandela,IN,27.6,75.5,62.29,31,0,3.22,clear sky
276,Sorland,NO,67.667,12.6934,34.32,78,100,31.7,light snow
277,Vostok,RU,46.4856,135.8833,-0.18,88,100,6.62,overcast clouds
278,Tezu,IN,27.9167,96.1667,58.46,94,100,1.52,overcast clouds
279,Mangan,IN,27.5167,88.5333,50.4,98,89,1.19,overcast clouds
280,Tvoroyri,FO,61.5556,-6.8111,33.19,81,100,15.37,overcast clouds
281,Sitka,US,57.0531,-135.33,42.69,75,100,5.75,overcast clouds
282,Rawson,AR,-43.3002,-65.1023,57.67,59,57,15.55,broken clouds
283,Saiki,JP,32.95,131.9,42.8,40,80,17.54,broken clouds
284,Ulaanbaatar,MN,47.9077,106.8832,5.13,61,0,4.47,clear sky
285,Bengkulu,ID,-3.8004,102.2655,77.83,80,100,2.21,overcast clouds
286,Ingham,US,42.6,-84.3833,14.0,89,90,0.0,light snow
287,Vilaka,LV,57.1846,27.6722,23.67,94,100,12.46,light snow
288,Otane,NZ,-39.8833,176.6333,64.0,93,96,4.54,light rain
289,Tabuk,PH,17.4189,121.4443,77.34,74,90,10.54,overcast clouds
290,North Bend,US,43.4065,-124.2243,48.16,99,100,4.61,overcast clouds
291,Kamyshevatskaya,RU,46.4132,37.9563,30.0,71,100,13.53,overcast clouds
292,Taoudenni,ML,22.6783,-3.9836,60.91,16,59,9.6,broken clouds
293,Inhambane,MZ,-23.865,35.3833,80.58,83,40,4.61,scattered clouds
294,Iraan,US,30.914,-101.8979,25.14,63,0,4.0,clear sky
295,Kaabong,UG,3.4836,34.1492,72.01,44,100,5.26,overcast clouds
296,Rocha,UY,-34.4833,-54.3333,64.98,97,69,4.0,broken clouds
297,Chiredzi,ZW,-21.05,31.6667,70.54,90,86,10.27,light rain
298,Venado Tuerto,AR,-33.7456,-61.9688,63.77,92,5,7.02,light rain
299,Urucara,BR,-2.5364,-57.76,71.65,96,98,2.13,overcast clouds
300,Vila Velha,BR,-20.3297,-40.2925,75.15,95,0,2.3,clear sky
301,Kanigiri,IN,15.4,79.5167,82.99,47,34,4.54,scattered clouds
302,Kuito,AO,-12.3833,16.9333,59.16,94,100,5.3,light rain
303,Hervey Bay,AU,-25.2986,152.8535,82.51,60,29,15.01,scattered clouds
304,Llata,PE,-9.4167,-76.7833,52.7,90,95,1.32,overcast clouds
305,Asfi,MA,32.2994,-9.2372,61.03,59,91,13.15,overcast clouds
306,Enderby,GB,52.5878,-1.2062,38.17,85,61,14.0,broken clouds
307,Flinders,AU,-34.5833,150.8552,74.17,66,52,11.99,light rain
308,Marfino,RU,55.7028,37.3822,16.05,92,100,4.47,fog
309,Hithadhoo,MV,-0.6,73.0833,82.33,74,98,14.56,overcast clouds
310,Shetpe,KZ,44.1667,52.1167,32.97,95,100,15.52,overcast clouds
311,Nichinan,JP,31.6,131.3667,49.68,49,56,16.28,broken clouds
312,Faanui,PF,-16.4833,-151.75,80.98,74,79,13.85,light rain
313,Dingle,PH,10.9995,122.6711,82.29,72,84,17.27,broken clouds
314,Marsh Harbour,BS,26.5412,-77.0636,72.66,62,0,6.22,clear sky
315,Henties Bay,NA,-22.116,14.2845,65.86,84,99,4.41,overcast clouds
316,Maihar,IN,24.2667,80.75,69.82,22,0,6.64,clear sky
317,Chimbote,PE,-9.0853,-78.5783,68.7,89,16,5.17,few clouds
318,Clyde River,CA,70.4692,-68.5914,-18.17,69,0,6.91,clear sky
319,Sao Filipe,CV,14.8961,-24.4956,72.25,72,0,11.14,clear sky
320,Qaqortoq,GL,60.7167,-46.0333,4.64,49,3,26.71,clear sky
321,Iracoubo,GF,5.4802,-53.2011,75.31,89,92,7.7,overcast clouds
322,Mathathane,BW,-22.2687,28.7495,74.28,71,60,17.6,broken clouds
323,Cap Malheureux,MU,-19.9842,57.6142,81.09,84,100,13.0,overcast clouds
324,Havre,FR,49.5833,0.3333,39.43,79,33,8.46,scattered clouds
325,Bilma,NE,18.6853,12.9164,52.54,28,2,4.72,clear sky
326,Lincoln,US,40.8,-96.667,17.98,39,0,3.0,clear sky
327,Mahanoro,MG,-19.9,48.8,75.18,95,100,30.4,heavy intensity rain
328,Calama,CL,-22.4667,-68.9333,45.09,19,0,18.41,clear sky
329,Rio Gallegos,AR,-51.6226,-69.2181,50.05,76,0,21.85,clear sky
330,Tuatapere,NZ,-46.1333,167.6833,59.83,60,19,8.68,few clouds
331,Salavat,RU,53.3837,55.9077,23.97,86,100,5.77,overcast clouds
332,Padang,ID,-0.9492,100.3543,82.45,82,93,1.7,overcast clouds
333,Nuristan,AF,35.3,70.8333,24.17,40,0,2.8,clear sky
334,Bougouni,ML,11.417,-7.479,66.7,16,14,5.5,few clouds
335,Beringovskiy,RU,63.05,179.3167,-11.13,89,39,11.01,scattered clouds
336,Sarkand,KZ,45.41,79.9186,28.26,66,6,1.5,clear sky
337,Mahebourg,MU,-20.4081,57.7,80.89,83,75,19.57,broken clouds
338,Aswan,EG,24.0934,32.907,52.5,51,0,11.03,clear sky
339,Sungaipenuh,ID,-2.0833,101.3833,72.45,80,100,1.68,overcast clouds
340,Misratah,LY,32.3754,15.0925,56.3,42,11,11.56,few clouds
341,Suez,EG,29.9737,32.5263,52.92,59,38,7.74,scattered clouds
342,Scottsbluff,US,41.8666,-103.6672,36.81,60,0,5.01,clear sky
343,Sale,MA,34.0389,-6.8166,50.68,93,98,8.05,overcast clouds
344,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,63,67,0.0,broken clouds
345,Santa Marta,CO,11.2408,-74.199,80.89,74,7,7.0,clear sky
346,Makakilo City,US,21.3469,-158.0858,75.52,71,40,3.44,scattered clouds
