City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1136,Mitsamiouli,KM,81.1,moderate rain,-11.3847,43.2844,Foyer ADM
1137,Berbera,SO,77.47,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
1160,Fayaoue,NC,82.69,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
1161,Naliya,IN,75.09,clear sky,23.2667,68.8333,jadeja jayendrasinh
1162,Kieta,PG,84.61,light rain,-6.2167,155.6333,Uruna Bay Retreat
1167,Salinopolis,BR,77.9,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
1170,Mocuba,MZ,77.92,overcast clouds,-16.8392,36.9856,Phama Lodge
1189,Ko Samui,TH,87.71,scattered clouds,9.5357,99.9357,The Passage
1192,Tak Bai,TH,86.04,broken clouds,6.2595,102.0546,รุสสามาวาตี สามะแอ
1198,Mangaluru,IN,83.26,few clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
1209,Howard Springs,AU,87.71,overcast clouds,-12.497,131.047,buffalo beach hostel
1211,Mata De Sao Joao,BR,80.35,broken clouds,-12.5303,-38.2992,Sítio Sapiranga
1214,Abeokuta,NG,76.55,clear sky,7.15,3.35,Continental Suites Lodge
1221,Puerto Escondido,MX,75.54,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
1227,Kampot,KH,87.85,broken clouds,10.6167,104.1833,Two Moons Hotel
1229,Katherine,AU,84.52,overcast clouds,-14.4667,132.2667,Pine Tree Motel
1231,Ratnagiri,IN,78.71,clear sky,16.9833,73.3,Hotel Landmark
1232,Teluk Nibung,ID,85.05,overcast clouds,3.001,99.8164,Hotel Assyifa
1235,Marovoay,MG,87.94,moderate rain,-16.1,46.6333,Hôtel les Oliviers Marovoay
1239,Patancheru,IN,79.66,scattered clouds,17.5314,78.265,Sri Ganapathi Lodge
1248,Soe,ID,79.39,broken clouds,-9.8607,124.284,Dena Hotel
1261,Charters Towers,AU,88.43,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
1263,Formosa,AR,75.18,overcast clouds,-26.1775,-58.1781,Hotel Portal del Sol
1279,Amuntai,ID,87.19,overcast clouds,-2.4177,115.2494,Hotel Balqis
1280,Isangel,VU,77.11,light intensity drizzle,-19.55,169.2667,Tanna Lodge
1281,Ciudad Bolivar,VE,75.56,scattered clouds,8.1222,-63.5497,Hotel Edi
1283,Piacabucu,BR,77.14,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
1299,Maumere,ID,82.89,broken clouds,-8.6199,122.2111,Sylvia Hotel
1302,Tiruchchendur,IN,89.89,broken clouds,8.4833,78.1167,Hotel Udhayam International
1313,Bubaque,GW,77.76,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
1319,San Policarpo,PH,81.12,overcast clouds,12.1791,125.5072,Agapita M. Nicart
1322,Gigmoto,PH,79.27,light rain,13.7796,124.39,Cj's Travellers Inn
1325,Maningrida,AU,84.74,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
1333,Acajutla,SV,78.44,scattered clouds,13.5928,-89.8275,Laureles
1336,Sorong,ID,84.74,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
1340,Mamallapuram,IN,87.85,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
1344,Suba,PH,80.17,overcast clouds,10.8438,121.0102,Jarnchi Pension House
1349,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
1350,Jacqueville,CI,80.51,clear sky,5.2052,-4.4146,Hotel Le Martin Pecheur
